matches_won,country_id,winner_id
69,COL,201531
68,COL,202464
62,COL,215306
54,COL,211043
37,COL,105578
30,COL,104268
29,COL,105826
25,COL,104905
24,COL,200711
22,COL,106181
19,COL,105679
19,COL,216151
12,COL,105944
10,COL,221431
10,COL,221501
8,COL,214060
7,COL,214058
6,COL,104113
5,COL,211044
4,COL,214059
4,COL,206720
4,COL,211039
3,COL,220819
3,COL,104906
3,COL,214055
3,COL,121817
3,COL,220820
3,COL,211457
2,COL,221429
2,COL,123747
2,COL,222001
2,COL,214968
2,COL,120982
2,COL,221506
2,COL,138758
2,COL,216350
1,COL,125801
1,COL,144848
1,COL,103590
1,COL,239470
1,COL,216393
1,COL,221428
1,COL,220168
1,COL,216349
1,COL,222447
1,COL,215746
1,COL,221503
1,COL,126666
1,COL,222002
4,CRC,214641
2,CRC,212268
1,CRC,212285
1,CRC,221837
1,CRC,221805
159,CRO,105227
149,CRO,202659
121,CRO,106432
120,CRO,211329
111,CRO,202499
109,CRO,213544
99,CRO,201549
95,CRO,214521
90,CRO,210742
89,CRO,127339
86,CRO,211951
82,CRO,201694
79,CRO,103333
77,CRO,206248
76,CRO,126120
70,CRO,105015
68,CRO,105302
67,CRO,220716
49,CRO,213923
43,CRO,201617
39,CRO,200002
38,CRO,223087
35,CRO,105254
34,CRO,202438
32,CRO,207213
30,CRO,211405
24,CRO,104471
23,CRO,222045
20,CRO,214420
19,CRO,123896
19,CRO,215750
19,CRO,106022
15,CRO,205954
14,CRO,202873
13,CRO,105711
11,CRO,203400
10,CRO,106243
10,CRO,105243
7,CRO,106374
6,CRO,206224
6,CRO,215193
6,CRO,238075
6,CRO,220130
6,CRO,211977
5,CRO,215425
4,CRO,220431
3,CRO,106049
3,CRO,214024
3,CRO,106207
3,CRO,215907
2,CRO,215428
2,CRO,105175
2,CRO,221499
2,CRO,105775
1,CRO,221158
1,CRO,214657
1,CRO,220011
1,CRO,131889
1,CRO,239156
1,CRO,209041
7,CUB,211002
1,CUB,221835
1,CUB,221815
71,CYP,104571
16,CYP,133018
15,CYP,117365
164,CZE,213631
154,CZE,206124
148,CZE,144645
148,CZE,201662
146,CZE,214956
144,CZE,106210
142,CZE,104586
137,CZE,211701
137,CZE,206252
131,CZE,201697
131,CZE,201520
129,CZE,214148
126,CZE,215437
123,CZE,202702
121,CZE,206335
115,CZE,211406
107,CZE,106361
103,CZE,214954
102,CZE,201366
99,CZE,214096
99,CZE,216074
93,CZE,215520
85,CZE,204267
83,CZE,105596
73,CZE,211700
69,CZE,215693
65,CZE,202653
64,CZE,106324
62,CZE,205981
61,CZE,200240
60,CZE,104607
60,CZE,201556
56,CZE,207830
55,CZE,214751
53,CZE,203284
51,CZE,209576
48,CZE,201425
47,CZE,206145
43,CZE,216185
43,CZE,216186
40,CZE,214004
38,CZE,214003
35,CZE,208103
34,CZE,222328
31,CZE,103285
30,CZE,106377
30,CZE,216073
29,CZE,215166
28,CZE,215192
28,CZE,221307
27,CZE,216225
26,CZE,207797
26,CZE,222258
25,CZE,202398
25,CZE,219965
24,CZE,126878
22,CZE,211698
22,CZE,214894
21,CZE,126151
21,CZE,116985
20,CZE,201599
17,CZE,202654
17,CZE,220740
16,CZE,123807
16,CZE,104846
16,CZE,213581
16,CZE,103902
15,CZE,215191
14,CZE,220461
14,CZE,103708
13,CZE,213851
13,CZE,200309
13,CZE,210062
13,CZE,220580
13,CZE,239383
12,CZE,207494
12,CZE,103401
11,CZE,201339
10,CZE,214816
10,CZE,214266
10,CZE,213938
9,CZE,216256
9,CZE,105421
8,CZE,105433
8,CZE,215130
8,CZE,202832
7,CZE,220689
7,CZE,221219
7,CZE,125806
7,CZE,220671
6,CZE,214360
6,CZE,223323
6,CZE,214193
